date,outcome,case_count,total_pop,Rate
6/23/2021,death,4,5562663,0.07
6/24/2021,death,3,5562663,0.05
6/25/2021,death,3,5562663,0.05
6/26/2021,death,4,5562663,0.07
6/27/2021,death,2,5562663,0.04
6/28/2021,death,2,5562663,0.04
6/29/2021,death,2,5562663,0.04
6/30/2021,death,2,5562663,0.04
7/1/2021,death,0,5562663,0
7/2/2021,death,2,5562663,0.04
7/3/2021,death,2,5562663,0.04
7/4/2021,death,3,5562663,0.05
7/5/2021,death,1,5562663,0.02
7/6/2021,death,5,5562663,0.09
7/7/2021,death,1,5562663,0.02
7/8/2021,death,1,5562663,0.02
7/9/2021,death,0,5562663,0
7/10/2021,death,2,5562663,0.04
7/11/2021,death,3,5562663,0.05
7/12/2021,death,1,5562663,0.02
7/13/2021,death,2,5562663,0.04
7/14/2021,death,2,5562663,0.04
7/15/2021,death,2,5562663,0.04
7/16/2021,death,1,5562663,0.02
7/17/2021,death,1,5562663,0.02
7/18/2021,death,0,5562663,0
7/19/2021,death,0,5562663,0
7/20/2021,death,2,5562663,0.04
7/21/2021,death,3,5562663,0.05
7/22/2021,death,2,5562663,0.04
7/23/2021,death,3,5562663,0.05
7/24/2021,death,0,5562663,0
7/25/2021,death,2,5562663,0.04
7/26/2021,death,1,5562663,0.02
7/27/2021,death,2,5562663,0.04
7/28/2021,death,3,5562663,0.05
7/29/2021,death,2,5562663,0.04
7/30/2021,death,5,5562663,0.09
7/31/2021,death,4,5562663,0.07
8/1/2021,death,1,5562663,0.02
8/2/2021,death,3,5562663,0.05
8/3/2021,death,2,5562663,0.04
8/4/2021,death,3,5562663,0.05
8/5/2021,death,2,5562663,0.04
8/6/2021,death,8,5562663,0.14
8/7/2021,death,3,5562663,0.05
8/8/2021,death,3,5562663,0.05
8/9/2021,death,3,5562663,0.05
8/10/2021,death,2,5562663,0.04
8/11/2021,death,2,5562663,0.04
8/12/2021,death,7,5562663,0.13
8/13/2021,death,5,5562663,0.09
8/14/2021,death,6,5562663,0.11
8/15/2021,death,1,5562663,0.02
8/16/2021,death,7,5562663,0.13
8/17/2021,death,7,5562663,0.13
8/18/2021,death,8,5562663,0.14
8/19/2021,death,2,5562663,0.04
8/20/2021,death,3,5562663,0.05
8/21/2021,death,5,5562663,0.09
8/22/2021,death,7,5562663,0.13
8/23/2021,death,5,5562663,0.09
8/24/2021,death,12,5562663,0.22
8/25/2021,death,7,5562663,0.13
8/26/2021,death,2,5562663,0.04
8/27/2021,death,6,5562663,0.11
8/28/2021,death,11,5562663,0.2
8/29/2021,death,11,5562663,0.2
8/30/2021,death,8,5562663,0.14
8/31/2021,death,8,5562663,0.14
9/1/2021,death,6,5562663,0.11
9/2/2021,death,6,5562663,0.11
9/3/2021,death,9,5562663,0.16
9/4/2021,death,9,5562663,0.16
9/5/2021,death,10,5562663,0.18
9/6/2021,death,8,5562663,0.14
9/7/2021,death,7,5562663,0.13
9/8/2021,death,11,5562663,0.2
9/9/2021,death,5,5562663,0.09
9/10/2021,death,9,5562663,0.16
9/11/2021,death,17,5562663,0.31
